accession_number	seq	description	document	type
0001800037-20-000001	1		primary_doc.xml	C
0001800037-20-000001	2	FORM C	SparkleFormC.pdf	EX-99
0001665160-20-000199	1		primary_doc.xml	C-U
0001665160-20-000200	1		primary_doc.xml	C-U
0001669191-20-000096	1		primary_doc.xml	C/A
0001669191-20-000096	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000096	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000096	4	CPA AUDIT REPORT	auditreport.pdf	EX-99
0001669191-20-000096	5	CERTIFICATE OF FORMATION	certificateofformation.pdf	EX-99
0001669191-20-000096	6	OPERATING AGREEMENT	operatingagreement.pdf	EX-99
0001669191-20-000096	7	PITCH DECK	pitchdeck.pdf	EX-99
0001669191-20-000096	8	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000096	9	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001665160-20-000201	1		primary_doc.xml	C-U
0001665160-20-000202	1		primary_doc.xml	C-U
0001794485-20-000001	1		primary_doc.xml	C
0001794485-20-000001	2	FORM C WITH EXHIBITS	formcucapture.pdf	EX-99
0001665160-20-000204	1		primary_doc.xml	C/A
0001665160-20-000204	2		offeringmemoformc.pdf	EX-99
0001746059-20-000072	1		primary_doc.xml	C-W
0001794603-20-000001	1		primary_doc.xml	C
0001794603-20-000001	2		yeiiformc.pdf	EX-99
0001670254-20-000176	1		primary_doc.xml	C
0001670254-20-000176	2		document_1.pdf	EX-99
0001670254-20-000176	3		document_2.pdf	EX-99
0001670254-20-000176	4		document_3.pdf	EX-99
0001670254-20-000176	5		document_4.pdf	EX-99
0001670254-20-000176	6		document_5.pdf	EX-99
0001670254-20-000176	7		document_6.pdf	EX-99
0001670254-20-000176	8		document_7.pdf	EX-99
0001670254-20-000176	9		document_8.pdf	EX-99
0001670254-20-000176	10		documents_list.htm	EX-99
0001465818-20-000004	1		primary_doc.xml	C/A
0001465818-20-000004	2	FORM C/A	Story2CA.pdf	EX-99
0001465818-20-000005	1		primary_doc.xml	C/A
0001465818-20-000005	2	FORM C/A	Story2CA.pdf	EX-99
0001665160-20-000205	1		primary_doc.xml	C/A
0001669191-20-000098	1		primary_doc.xml	C/A
0001669191-20-000098	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000098	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000098	4	INCOME STATEMENT	income.pdf	EX-99
0001669191-20-000098	5	BALANCE SHEET	balancesheet.pdf	EX-99
0001669191-20-000098	6	CASH FLOW STATEMENT	cashflow.pdf	EX-99
0001669191-20-000098	7	CHANGE IN EQUITY STATEMENT	changeinequity.pdf	EX-99
0001669191-20-000098	8	PRINCIPAL EXECUTIVE CERTIFICATION	executivecertification.pdf	EX-99
0001669191-20-000098	9	CERTIFICATE OF INCORPORATION	certificateofincorporation.PDF	EX-99
0001669191-20-000098	10	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000098	11	PITCH DECK	pitchdeck.pdf	EX-99
0001669191-20-000098	12	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000098	13	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001669191-20-000100	1		primary_doc.xml	C/A
0001669191-20-000100	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000100	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000100	4	INCOME STATEMENT	income.pdf	EX-99
0001669191-20-000100	5	BALANCE SHEET	balancesheet.pdf	EX-99
0001669191-20-000100	6	CASH FLOW STATEMENT	cashflow.pdf	EX-99
0001669191-20-000100	7	CHANGE IN EQUITY STATEMENT	changeinequity.pdf	EX-99
0001669191-20-000100	8	PRINCIPAL EXECUTIVE CERTIFICATION	executivecertification.pdf	EX-99
0001669191-20-000100	9	CERTIFICATE OF INCORPORATION	certificateofincorporation.pdf	EX-99
0001669191-20-000100	10	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000100	11	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000100	12	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001701378-20-000001	1		primary_doc.xml	C-TR
0001767504-20-000001	1		primary_doc.xml	C-AR
0001767504-20-000001	2		formcar_bhfarms.pdf	EX-99
0001665160-20-000211	1		primary_doc.xml	C/A
0001665160-20-000211	2		offeringmemoformc.pdf	EX-99
0001665160-20-000212	1		primary_doc.xml	C/A
0001767504-20-000002	1		primary_doc.xml	C-TR
0001665160-20-000207	1		primary_doc.xml	C/A
0001665160-20-000207	2		offeringmemoformc.pdf	EX-99
0001665160-20-000209	1		primary_doc.xml	C/A
0001665160-20-000209	2		offeringmemoformc.pdf	EX-99
0001780439-20-000008	1		primary_doc.xml	C/A
0001780439-20-000008	2	EXHIBIT A - OFFERING MEMO (AMEND)	ExhibitAofferingmemoamend.pdf	EX-99
0001780439-20-000008	3	EXHIBIT B - SUB AGREEMENT (AMEND)	EXHIBITCsubagrmntamend.pdf	EX-99
0001780439-20-000008	4	EXHIBIT D - WORK HISTORY (AMEND)	EXHIBITDworkhistoryamend.pdf	EX-99
0001780439-20-000008	5	EXHIBIT E - PRESENTATION AMEND	EXHIBITEpresentationamend.pdf	EX-99
0001702371-20-000001	1		primary_doc.xml	C-U
0001665160-20-000213	1		primary_doc.xml	C/A
0001804661-20-000001	1		primary_doc.xml	C
0001804661-20-000001	2	AGREEMENT	Agreement.pdf	EX-99
0001804661-20-000001	3	PITCH	Pitchdeck.pdf	EX-99
0001804661-20-000001	4	MEMORANDUM	memo.pdf	EX-99
0001804661-20-000001	5	FINANCIAL	fina.pdf	EX-99
0001684004-20-000002	1		primary_doc.xml	C-TR
0001789922-20-000001	1		primary_doc.xml	C-AR
0001789922-20-000001	2		aavraniformcar.pdf	EX-99
0001806194-20-000001	1		primary_doc.xml	C
0001806194-20-000001	2	OFFERING STATEMENT	formcpoppet.pdf	EX-99
0001715237-20-000003	1		primary_doc.xml	C-AR
0001715237-20-000003	2	FORM C-AR	formc-ar.pdf	EX-99
0001669191-20-000102	1		primary_doc.xml	C
0001669191-20-000102	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000102	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000102	4	CPA REVIEW REPORT	reviewletter.pdf	EX-99
0001669191-20-000102	5	CERTIFICATE OF INCORPORATION	certificateofincorporation.pdf	EX-99
0001669191-20-000102	6	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000102	7	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000102	8	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001722138-20-000001	1		primary_doc.xml	C
0001722138-20-000001	2	FORM C POLITISCOPE	formcsbspolitiscope.pdf	EX-99
0001746059-20-000073	1		primary_doc.xml	C/A
0001746059-20-000073	2		morningbrew_offmoca.pdf	EX-99
0001746059-20-000073	3		morningbrew_noteagmtca.pdf	EX-99
0001780439-20-000009	1		primary_doc.xml	C
0001780439-20-000009	2	EXHIBIT A - OFFERING MEMO	EXHIBITAOfferingmemo.pdf	EX-99
0001780439-20-000009	3	EXHIBIT B - FINANCIAL STATEMENTS	EXHIBITBfinancialstatements.pdf	EX-99
0001780439-20-000009	4	EXHIBIT C - SUBSCRIPTION AGREEMENT	EXHIBITCsubagreement.pdf	EX-99
0001780439-20-000009	5	EXHIBIT F - VIDEO TRANSCRIPT	EXHIBITFvideotranscript.pdf	EX-99
0001780439-20-000009	6	EXHIBIT H - CORPORATE DOCUMENTS	EXHIBITHlegaldocumentation.pdf	EX-99
0001780439-20-000009	7	EXHIBIT E - RAISE PRESENTATION	EXHIBITEraisepresentation.pdf	EX-99
0001780439-20-000009	8	EXHIBIT G - BUSINESS PLAN	EXHIBITGbusinessplan1.pdf	EX-99
0001780439-20-000009	9	EXHIBIT D - WORK HISTORY	ExhibitDworkhistory2.pdf	EX-99
0001806281-20-000001	1		primary_doc.xml	C
0001806281-20-000001	2	OFFERING STATEMENT	formchilltop.pdf	EX-99
0001669191-20-000108	1		primary_doc.xml	C
0001669191-20-000108	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000108	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000108	4	CPA REVIEW REPORT	reviewletter.pdf	EX-99
0001669191-20-000108	5	CERTIFICATE OF INCORPORATION	certificateofincorporation.pdf	EX-99
0001669191-20-000108	6	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000108	7	PITCH DECK	pitchdeck.pdf	EX-99
0001669191-20-000108	8	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000108	9	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001795289-20-000003	1		primary_doc.xml	C/A
0001795289-20-000003	2	FORM C/A	formc.pdf	EX-99
0001669191-20-000113	1		primary_doc.xml	C
0001669191-20-000113	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000113	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000113	4	INCOME STATEMENT	income.pdf	EX-99
0001669191-20-000113	5	BALANCE SHEET	balancesheet.pdf	EX-99
0001669191-20-000113	6	CASH FLOW STATEMENT	cashflow.pdf	EX-99
0001669191-20-000113	7	CHANGE IN EQUITY STATEMENT	changeinequity.pdf	EX-99
0001669191-20-000113	8	PRINCIPAL EXECUTIVE CERTIFICATION	executivecertification.pdf	EX-99
0001669191-20-000113	9	CERTIFICATE OF INCORPORATION	certificateofincorporation.pdf	EX-99
0001669191-20-000113	10	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000113	11	PITCH DECK	pitchdeck.pdf	EX-99
0001669191-20-000113	12	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000113	13	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001665160-20-000215	1		primary_doc.xml	C
0001665160-20-000215	2		offeringmemoformc.pdf	EX-99
0001783015-20-000001	1		primary_doc.xml	C-U
0001783015-20-000002	1		primary_doc.xml	C-U
0001665160-20-000218	1		primary_doc.xml	C/A
0001665160-20-000218	2		offeringmemoformc.pdf	EX-99
0001670254-20-000181	1		primary_doc.xml	C
0001670254-20-000181	2		document_1.pdf	EX-99
0001670254-20-000181	3		document_2.pdf	EX-99
0001670254-20-000181	4		document_3.pdf	EX-99
0001670254-20-000181	5		document_4.pdf	EX-99
0001670254-20-000181	6		document_5.pdf	EX-99
0001670254-20-000181	7		document_6.pdf	EX-99
0001670254-20-000181	8		document_7.pdf	EX-99
0001670254-20-000181	9		document_8.pdf	EX-99
0001670254-20-000181	10		document_9.pdf	EX-99
0001670254-20-000181	11		document_10.pdf	EX-99
0001670254-20-000181	12		documents_list.htm	EX-99
0001746059-20-000074	1		primary_doc.xml	C
0001746059-20-000074	2		brato2_offmo.pdf	EX-99
0001746059-20-000074	3		brato2_appxa.pdf	EX-99
0001746059-20-000074	4		brato2_appxb.pdf	EX-99
0001746059-20-000074	5		brato2_noteagmt.pdf	EX-99
0001746059-20-000074	6		brato2_page.jpg	GRAPHIC
0001665160-20-000220	1		primary_doc.xml	C
0001665160-20-000220	2		offeringmemoformc.pdf	EX-99
0001666102-20-000006	1		primary_doc.xml	C
0001666102-20-000006	2	FORM C - OFFERING STATEMENT	FormC_20200312p.pdf	EX-99
0001803581-20-000001	1		primary_doc.xml	C
0001803581-20-000001	2	FLUUX FORM C W/ EXHIBITS	formcucapture.pdf	EX-99
0001746059-20-000075	1		primary_doc.xml	C
0001746059-20-000075	2		innerglow_offmo.pdf	EX-99
0001746059-20-000075	3		innerglow_appxa.pdf	EX-99
0001746059-20-000075	4		innerglow_appxb.pdf	EX-99
0001746059-20-000075	5		innerglow_rsn.pdf	EX-99
0001746059-20-000075	6		innerglow_page.jpg	GRAPHIC
0001764730-20-000001	1		primary_doc.xml	C-U
0001746059-20-000077	1		primary_doc.xml	C
0001746059-20-000077	2		stonehouse_appxa.pdf	EX-99
0001746059-20-000077	3		stonehouse_appxb.pdf	EX-99
0001746059-20-000077	4		stonehouse_noteagmt.pdf	EX-99
0001746059-20-000077	5		stonehouse_page.jpg	GRAPHIC
0001746059-20-000077	6		stonehouse_offmem.pdf	EX-99
0001746059-20-000079	1		primary_doc.xml	C
0001746059-20-000079	2		peopleskitch_offmo.pdf	EX-99
0001746059-20-000079	3		peopleskitch_appxa.pdf	EX-99
0001746059-20-000079	4		peopleskitch_appxb.pdf	EX-99
0001746059-20-000079	5		peopleskitch_noteagmt.pdf	EX-99
0001746059-20-000079	6		peopleskitch_page.jpg	GRAPHIC
0001746059-20-000081	1		primary_doc.xml	C-W
0001665160-20-000222	1		primary_doc.xml	C/A
0001665160-20-000223	1		primary_doc.xml	C/A
0001665160-20-000223	2		offeringmemoformc.pdf	EX-99
0001104659-20-032595	1		primary_doc.xml	C
0001104659-20-032595	2	OFFERING MEMORANDUM	tm2012565-1_om.pdf	EX-99
0001104659-20-032595	3	CAMPAIGN PAGE	tm2012565-1_campaign.pdf	EX-99
0001749621-20-000001	1		primary_doc.xml	C
0001749621-20-000001	2	OFFERING STATEMENT	southeastofferingstatement.pdf	EX-99
0001749621-20-000001	3	EXHIBIT A: EXECUTIVE SUMMARY	asoutheastexecutivesummary.pdf	EX-99
0001749621-20-000001	4	EXHIBIT B: CROWD NOTE	bsoutheasternnote.pdf	EX-99
0001749621-20-000001	5	EXHIBIT C: CROWD NOTE PURCHASE AGREEMENT	csoutheastpurchaseagreement.pdf	EX-99
0001749621-20-000001	6	EXHIBIT D: 2017 AND 2018 FINANCIAL STATEMENTS	dsoutheastfinancials.pdf	EX-99
0001749621-20-000001	7	EXHIBIT E: CROWDFUNDING CAMPAIGN PAGE	esoutheasternpage.jpg	GRAPHIC
0001749621-20-000001	8	EXHIBIT F: CROWDFUNDING VIDEO TRANSCRIPT	fsoutheasterntranscript.pdf	EX-99
0001749621-20-000001	9	EXHIBIT G: PITCH DECK	gsoutheasternpitchdeck.pdf	EX-99
0001749621-20-000001	10	EXHIBIT H: 2017 AND 2018 FINANCIAL STATEMENTS CERTIFICATION	hsoutheasternfincert.pdf	EX-99
0001749621-20-000001	11	EXHIBIT I: 2018 TAX INFORMATION CERITIFCATION	isoutheasttaxcertification.pdf	EX-99
0001665160-20-000225	1		primary_doc.xml	C
0001665160-20-000225	2		offeringmemoformc.pdf	EX-99
0001665160-20-000230	1		primary_doc.xml	C/A
0001752964-20-000001	1		primary_doc.xml	C-U
0001670254-20-000184	1		primary_doc.xml	C
0001670254-20-000184	2		document_1.pdf	EX-99
0001670254-20-000184	3		document_2.pdf	EX-99
0001670254-20-000184	4		document_3.pdf	EX-99
0001670254-20-000184	5		document_4.pdf	EX-99
0001670254-20-000184	6		document_5.pdf	EX-99
0001670254-20-000184	7		document_6.pdf	EX-99
0001670254-20-000184	8		document_7.pdf	EX-99
0001670254-20-000184	9		document_8.pdf	EX-99
0001670254-20-000184	10		document_9.pdf	EX-99
0001670254-20-000184	11		document_10.pdf	EX-99
0001670254-20-000184	12		documents_list.htm	EX-99
0001665160-20-000231	1		primary_doc.xml	C/A
0001665160-20-000231	2		offeringmemoformc.pdf	EX-99
0001665160-20-000233	1		primary_doc.xml	C
0001665160-20-000233	2		offeringmemoformc.pdf	EX-99
0001805081-20-000001	1		primary_doc.xml	C
0001805081-20-000001	2	FORM C SBS A PLAN	formcsbsaplan.pdf	EX-99
0001746059-20-000082	1		primary_doc.xml	C/A
0001746059-20-000082	2		otto_offmoca.pdf	EX-99
0001746059-20-000082	3		otto_noteagmtca.pdf	EX-99
0001752964-20-000003	1		primary_doc.xml	C
0001752964-20-000003	2		axleaiformc.pdf	EX-99
0001670254-20-000189	1		primary_doc.xml	C
0001670254-20-000189	2		document_1.pdf	EX-99
0001670254-20-000189	3		document_2.pdf	EX-99
0001670254-20-000189	4		document_3.pdf	EX-99
0001670254-20-000189	5		document_4.pdf	EX-99
0001670254-20-000189	6		document_5.pdf	EX-99
0001670254-20-000189	7		document_6.pdf	EX-99
0001670254-20-000189	8		document_7.pdf	EX-99
0001670254-20-000189	9		document_8.pdf	EX-99
0001670254-20-000189	10		document_9.pdf	EX-99
0001670254-20-000189	11		documents_list.htm	EX-99
0001665160-20-000237	1		primary_doc.xml	C/A
0001665160-20-000237	2		offeringmemoformc.pdf	EX-99
0001665160-20-000239	1		primary_doc.xml	C/A
0001665160-20-000239	2		offeringmemoformc.pdf	EX-99
0001669191-20-000116	1		primary_doc.xml	C-U
0001669191-20-000118	1		primary_doc.xml	C/A
0001669191-20-000118	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000118	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000118	4	INCOME STATEMENT	income.pdf	EX-99
0001669191-20-000118	5	BALANCE SHEET	balancesheet.pdf	EX-99
0001669191-20-000118	6	CASH FLOW STATEMENT	cashflow.pdf	EX-99
0001669191-20-000118	7	CHANGE IN EQUITY STATEMENT	changeinequity.pdf	EX-99
0001669191-20-000118	8	PRINCIPAL EXECUTIVE CERTIFICATION	executivecertification.pdf	EX-99
0001669191-20-000118	9	CERTIFICATE OF INCORPORATION	certificateofincorporation.PDF	EX-99
0001669191-20-000118	10	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000118	11	PITCH DECK	pitchdeck.pdf	EX-99
0001669191-20-000118	12	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000118	13	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001669191-20-000120	1		primary_doc.xml	C/A
0001669191-20-000120	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000120	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000120	4	INCOME STATEMENT	income.pdf	EX-99
0001669191-20-000120	5	BALANCE SHEET	balancesheet.pdf	EX-99
0001669191-20-000120	6	CASH FLOW STATEMENT	cashflow.pdf	EX-99
0001669191-20-000120	7	CHANGE IN EQUITY STATEMENT	changeinequity.pdf	EX-99
0001669191-20-000120	8	PRINCIPAL EXECUTIVE CERTIFICATION	executivecertification.pdf	EX-99
0001669191-20-000120	9	CERTIFICATE OF INCORPORATION	certificateofincorporation.pdf	EX-99
0001669191-20-000120	10	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000120	11	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000120	12	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001669191-20-000122	1		primary_doc.xml	C/A
0001669191-20-000122	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000122	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000122	4	CPA REVIEW REPORT	reviewletter.pdf	EX-99
0001669191-20-000122	5	CERTIFICATE OF INCORPORATION	certificateofincorporation.pdf	EX-99
0001669191-20-000122	6	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000122	7	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000122	8	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001780439-20-000010	1		primary_doc.xml	C/A
0001780439-20-000010	2	EXHIBIT A - OFFERING MEMO (AMEND)	EXHIBITAofferingmemoamend.pdf	EX-99
0001780439-20-000010	3	EXHIBIT G - SUB AGREEMENT (AMEND)	EXHIBITCsubagreementamend1.pdf	EX-99
0001665160-20-000240	1		primary_doc.xml	C/A
0001665160-20-000242	1		primary_doc.xml	C/A
0001665160-20-000243	1		primary_doc.xml	C-U
0001777204-20-000001	1		primary_doc.xml	C-U
0001665160-20-000241	1		primary_doc.xml	C/A
0001665160-20-000244	1		primary_doc.xml	C/A
0001665160-20-000246	1		primary_doc.xml	C/A
0001665160-20-000246	2		offeringmemoformc.pdf	EX-99
0001780439-20-000011	1		primary_doc.xml	C/A
0001780439-20-000011	2	EXHIBIT A - AMENDED OFFERING MEMO	EXHIBITAofferingmemoamend.pdf	EX-99
0001780439-20-000011	3	EXHIBIT B - AMENDED SUB AGREEMENT	EXHIBITCsubscriptionamend.pdf	EX-99
0001780439-20-000011	4	EXHIBIT E - AMENDED PRESENTATION	EXHIBITEpresentationamend.pdf	EX-99
0001665160-20-000248	1		primary_doc.xml	C
0001665160-20-000248	2		offeringmemoformc.pdf	EX-99
0001669191-20-000124	1		primary_doc.xml	C-U
0001798279-20-000001	1		primary_doc.xml	C-U
0001783556-20-000001	1		primary_doc.xml	C-AR
0001783556-20-000001	2	FORM C-AR	formc-ar.pdf	EX-99
0001752964-20-000004	1		primary_doc.xml	C/A
0001752964-20-000004	2	AXLEAIFORMCA	axleaiformca.pdf	EX-99
0001799343-20-000002	1		primary_doc.xml	C/A
0001783556-20-000003	1		primary_doc.xml	C-TR
0001749621-20-000002	1		primary_doc.xml	C/A
0001749621-20-000002	2	OFFERING STATEMENT	seamendedstatement.pdf	EX-99
0001749621-20-000002	3	EXHIBIT A: EXECUTIVE SUMMARY	asoutheastexecutivesummary.pdf	EX-99
0001749621-20-000002	4	EXHIBIT B: CROWD NOTE	bsoutheasternnote.pdf	EX-99
0001749621-20-000002	5	EXHIBIT C: CROWD NOTE PURCHASE AGREEMENT	csecorrectednpa.pdf	EX-99
0001749621-20-000002	6	EXHIBIT D: 2017 AND 2018 FINANCIAL STATEMENTS	dcorrectedfinancials.pdf	EX-99
0001749621-20-000002	7	EXHIBIT E: CROWDFUNDING CAMPAIGN PAGE	esoutheasternpage.jpg	GRAPHIC
0001749621-20-000002	8	EXHIBIT F: CROWDFUNDING VIDEO TRANSCRIPT	fsoutheasterntranscript.pdf	EX-99
0001749621-20-000002	9	EXHIBIT G: PITCH DECK	gsoutheasternpitchdeck.pdf	EX-99
0001749621-20-000002	10	EXHIBIT H: 2017 AND 2018 FINANCIAL STATEMENTS CERTIFICATION	hsoutheasternfincert.pdf	EX-99
0001749621-20-000002	11	EXHIBIT I: 2018 TAX INFORMATION CERTIFICATION	isoutheasttaxcertification.pdf	EX-99
0001746059-20-000083	1		primary_doc.xml	C/A
0001746059-20-000083	2		tempo_offmoca.pdf	EX-99
0001689683-20-000002	1		primary_doc.xml	C
0001689683-20-000002	2	FORM C	formc.pdf	EX-99
0001670254-20-000193	1		primary_doc.xml	C
0001670254-20-000193	2		document_1.pdf	EX-99
0001670254-20-000193	3		document_2.pdf	EX-99
0001670254-20-000193	4		document_3.pdf	EX-99
0001670254-20-000193	5		document_4.pdf	EX-99
0001670254-20-000193	6		document_5.pdf	EX-99
0001670254-20-000193	7		document_6.pdf	EX-99
0001670254-20-000193	8		document_7.pdf	EX-99
0001670254-20-000193	9		document_8.pdf	EX-99
0001670254-20-000193	10		document_9.pdf	EX-99
0001670254-20-000193	11		document_10.pdf	EX-99
0001670254-20-000193	12		documents_list.htm	EX-99
0001805525-20-000002	1		primary_doc.xml	C
0001805525-20-000002	2	FORM C	formc.pdf	EX-99
0001745321-20-000002	1		primary_doc.xml	C-TR
0001213900-20-006826	1		primary_doc.xml	C-W
0001665160-20-000251	1		primary_doc.xml	C
0001665160-20-000251	2		offeringmemoformc.pdf	EX-99
0001665160-20-000253	1		primary_doc.xml	C/A
0001665160-20-000254	1		primary_doc.xml	C/A
0001665160-20-000255	1		primary_doc.xml	C-U
0001665160-20-000256	1		primary_doc.xml	C-U
0001665160-20-000258	1		primary_doc.xml	C
0001665160-20-000258	2		offeringmemoformc.pdf	EX-99
0001796110-20-000006	1		primary_doc.xml	C/A
0001746059-20-000084	1		primary_doc.xml	C/A
0001746059-20-000084	2		brato2_offmoca.pdf	EX-99
0001746059-20-000084	3		brato2_noteagmtca.pdf	EX-99
0001568609-20-000002	1		primary_doc.xml	C-TR
0001665160-20-000260	1		primary_doc.xml	C/A
0001746059-20-000085	1		primary_doc.xml	C-W
0001793868-20-000002	1		primary_doc.xml	C/A
0001805743-20-000002	1		primary_doc.xml	C
0001805743-20-000002	2	FORM C	formc.pdf	EX-99
0001669191-20-000127	1		primary_doc.xml	C
0001669191-20-000127	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000127	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000127	4	CPA REVIEW REPORT	reviewletter.pdf	EX-99
0001669191-20-000127	5	CERTIFICATE OF INCORPORATION	certificateofincorporation.pdf	EX-99
0001669191-20-000127	6	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000127	7	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000127	8	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001665160-20-000262	1		primary_doc.xml	C
0001665160-20-000262	2		offeringmemoformc.pdf	EX-99
0001670254-20-000200	1		primary_doc.xml	C
0001670254-20-000200	2		document_1.pdf	EX-99
0001670254-20-000200	3		document_2.pdf	EX-99
0001670254-20-000200	4		document_3.pdf	EX-99
0001670254-20-000200	5		document_4.pdf	EX-99
0001670254-20-000200	6		document_5.pdf	EX-99
0001670254-20-000200	7		document_6.pdf	EX-99
0001670254-20-000200	8		document_7.pdf	EX-99
0001670254-20-000200	9		document_8.pdf	EX-99
0001670254-20-000200	10		document_9.pdf	EX-99
0001670254-20-000200	11		document_10.pdf	EX-99
0001670254-20-000200	12		document_11.pdf	EX-99
0001670254-20-000200	13		document_12.pdf	EX-99
0001670254-20-000200	14		documents_list.htm	EX-99
0001805075-20-000002	1		primary_doc.xml	C/A
0001805075-20-000002	2	OFFERING STATEMENT	Formcaschecorp.pdf	EX-99
0001746059-20-000086	1		primary_doc.xml	C/A
0001746059-20-000086	2		truewines_offmoca_2.pdf	EX-99
0001669191-20-000130	1		primary_doc.xml	C/A
0001669191-20-000130	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000130	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000130	4	CPA REVIEW REPORT	reviewletter.pdf	EX-99
0001669191-20-000130	5	CERTIFICATE OF INCORPORATION	certificateofincorporation.pdf	EX-99
0001669191-20-000130	6	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000130	7	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000130	8	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001665160-20-000264	1		primary_doc.xml	C/A
0001665160-20-000266	1		primary_doc.xml	C
0001665160-20-000266	2		offeringmemoformc.pdf	EX-99
0001665160-20-000267	1		primary_doc.xml	C/A
0001746059-20-000087	1		primary_doc.xml	C
0001746059-20-000087	2		heyrooster_offmo.pdf	EX-99
0001746059-20-000087	3		heyrooster_appxa.pdf	EX-99
0001746059-20-000087	4		heyrooster_appxb.pdf	EX-99
0001746059-20-000087	5		heyrooster_noteagmt.pdf	EX-99
0001746059-20-000087	6		heyrooster_page.jpg	GRAPHIC
0001736388-20-000003	1		primary_doc.xml	C-AR
0001736388-20-000003	2	FORM CAR AND EXHIBITS	r3formcar.pdf	EX-99
0001799600-20-000001	1		primary_doc.xml	C
0001799600-20-000001	2	FORM C	formc.pdf	EX-99
0001213900-20-007152	1		primary_doc.xml	C
0001213900-20-007152	2	OFFERING STATEMENT	fc0120_workhardplayhard.pdf	EX-99
0001213900-20-007152	3	BYLAWS	fc0120ex99-1_workhard.pdf	EX-99
0001213900-20-007152	4	CERTIFICATE OF INCORPORATION	fc0120ex99-2_workhard.pdf	EX-99
